segment,acquisition_purpose,buyers,total_investment,avg_investment,avg_purchase_price
Frequent / Portfolio Buyers,Home,33,76853589.1,2328896.639393939,329793.0133651996
Frequent / Portfolio Buyers,Investment,17,43976553.69,2586856.0994117646,338481.9347769469
Premium Home Buyers,Home,612,892865332.79,1458930.2823366013,409293.4840558279
Premium Home Buyers,Investment,258,373799090.08,1448833.68248062,409346.69816408266
Value-Oriented Buyers,Home,740,780349839.13,1054526.809635135,298283.28706914413
Value-Oriented Buyers,Investment,340,352906556.05,1037960.4589705883,296217.2253127451
