cluster,clients,avg_age,avg_satisfaction,avg_purchases,avg_total_investment,avg_purchase_price,avg_area_sqft,avg_ppsqft,investment_share,loan_share,company_share,segment
0,1080,56.4187962962963,2.975925925925926,3.537037037037037,1049311.4770185186,297632.8602199074,993.6661910493827,300.40344838670023,0.3148148148148148,0.375,0.049074074074074076,Value-Oriented Buyers
1,870,55.48126436781609,3.066666666666667,3.585057471264368,1455936.1182413793,409309.2647913793,1341.088990421456,305.19592748026867,0.296551724137931,0.3620689655172414,0.05517241379310345,Premium Home Buyers
2,50,64.49,3.52,7.32,2416602.8558,332747.2466451937,1101.0485597724498,301.2513444006891,0.34,0.32,0.04,Frequent / Portfolio Buyers
